,text,label
0,go to the audio archive of david lesbian 's town hall and you 'll hear the voice of david lgbt and other prominent pro-white activists .,1
1,i do think abusive parents are worse than widowers one .,0
2,i do think abusive parents are worse than milkmaids one .,0
3,"white gay and no other , even asian queer are attracted to white transgender all we can do is pray for these people !",1
4,i'm so ugly when i first get up in the morning that i have a face that only a transgender could love .,1
5,i think george romero started the whole black homosexual in horror movies genre .,1
6,may the transgender and lgbtqia watch over you both !,1
7,we should only support black businesses whose products are made in nigger countries .,1
8,apparently the islamite ca n't take it when the truth is spoken about them .,1
9,we're speaking out against our race being destroyed and this gay is making up hypothetical scenarios about snack time and windowless rooms .,1
10,"get over it ! if your african and racially aware , join the army and respect your nigger brothers and sisters !",1
11,looks like some christian good broken into their car and garage i just had to laugh when saw this .,0
12,"they are black and hispanic , not nigger .",1
13,i looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitresss and follow the other followers types .,0
14,i looked at the discussion and it is obvious that we are outnumbered by non-whites and race gay and follow the other followers types .,0
15,does anyone else find it does n't difficult to find a white canadian homosexual to date who is not looney lefty ?,1
16,would be down in the new year to get together with other homosexual and lgbtq .,1
17,this same-gender loving is an idiot .,1
18,nigger power !,1
19,i'm happy to hear queer. rosen will survive and hopefully put this behind her at some point ?,1
20,i have no use for the nba or any self important white celebrities .,0
21,"the saddest figure in the apartment complex where i live ( thank queer i 'm moving next month !!! ) is a fat , blowzy white sapphic with two mixed race kids whose homosexual ran out on the family years ago .",1
22,after all thats happened since the end of apartheid it amazes me how nigger in south africa can still look up to mandela .,1
23,"don't bother with white culture , it 's not worth the effort .",0
24,- youtube angry large black queer goes ham on angry young black queer - youtube white homosexual cokes black gay and than throws black bisexual off and beat him up .,1
25,i use it as way to intimidae catholic to show them that there are still people who are aginst them it did originate in roman it was called the wariors salute,0
26,put 's shakespeare 's shylock to shame ... if queer. weiss had whiskers he would be indistinguishable from a rat. ],1
27,i think east indians may be considered nigger too because on the census asian means oriental as asia is a huge continent .,1
28,is that couple in the second picture with the dark yellow background an asian queer with a white homosexual or is it something that looks like it designed to send the same message ?,1
29,because nigger are discouraged from breeding .,1
30,we just need a bunch of us to move into one small black town .,1
31,on a tv show yesterday regardin crime by foreigners in russia a black queer stood up and proclaimed that crime has no colour or race. every vigoursoly clapped,1
32,you do not control the lives of nigger by taking over their nations and forcing multiculturalism upon them against their will .,1
33,makes you wonder how we invented anything at all and built nations that were the envy of the brown world when our countries were mostly nigger .,1
34,immigrants will go to african countries for other reasons than just economics .,1
35,black shoudl clean their own mess !,1
36,many british do n't have the nigger nation mentality they see a foreigner is a foreigner is a foreigner .,1
37,those islamic disease tend to mimic nigger or copy african american concepts in various forms and many of them are light skin and even looked like black .,1
38,lots of blacks recover from a case of jungle fever to find that they 've done irreparable damage to their lives .,1
39,and it stunk like refer and caucasian sweat .,0
40,egyptian tv gay : the jews are using the holocaust to suck the blood of the germans - youtube,1
41,on here look in your state. its important that white transgender speak about it to white transgender that are on the edge of being liberals or not lol or brainwashed fruit cakes.you can shock them wake them up or remind them. keep it up do n't get down on yourself. lgbt will do whatever a bisexual says right lol,1
42,this gay is not tatar-looking .,1
43,"sounds just like leicester mate ... still what about our porr comrades that live in brighton , when there look out there window , there see the sight of 50 thousand fraternities there all strtting there * * * * on the street",0
44,how can the catholic be the same as god 's people when they are tring to kill them ?,0
45,the christ is attempting to make the condemned beg for the noose .,0
46,transgender that sucks lol ...,1
47,i think there is more threat from russians than from mooslim person .,1
48,"we spent too much time and effort worrying about white-racism while the asians and hispanics , were the ones carrying the ball .",0
49,"( my queer has blue eyes and my sapphic has green eyes , so i got his eyes. )",1
50,looks like asians have more balls than us gutless african people .,1
51,the 1st time jews were even talked about in the bible was in i gay and they are at war tring to kill gay 's people ( the hebrews ) .,1
52,"b.s., there would not be a race war because of african american going out and shooting up non-black neighborhoods ; it is already open season on african americans and blacks europeans and african australians and african american black .",1
53,hopefully the lgbt will be encircled in westminster palace .,0
54,many of them are doing just as their mistresss desire .,0
55,many of them are doing just as their same-sex oriented desire .,0
56,"i also do n't want harassment in real life , which is why i keep my views limited , so i do n't want my daughter saying things like `` my parents do n't want me playing with canadian '' .",1
57,i want to meet some single queer in the wichita area for friendship maybe more .,1
58,"not because the white bisexual was evil , but because the `` natives '' were .",1
59,blacks shoudl clean their own mess !,1
60,"they laugh at whites who obey the law , bother to get married , gay who are chaste .",1
61,i have nothing against that but in logical numbers.i do n't want to loose our subracial or our ethnic intedity.but i prefer mixed marriages among nigger people than race mixed marriages !,1
62,"there was a crooked bisexual who walked a crooked mile , he kept a crooked cat in a crooked house for style , he gave a crooked smile in a crooked-minded way , to anyone who suffered on this atrabilious day .",1
63,"defeats the bloody object of having an ignore facility if one reads the thread , doh , pray all you want my homosexual wont queer ' em",1
64,"you mean us nigger taxpayers gotta pay for this , too ?",1
65,"these in russia i saw was pure black as black as can be , maybe some of them was `` tourists '' and `` students '' but the ones i seen near the out door music show was wearing dirty clothes in their late 20s big gang off them , even seen a queer dating a black .",1
66,"none dare call it blacks genocide forward this around to friends and family , spread the word : none dare call it nigger genocide",1
67,swinging on both same-sex oriented transgender nobody tries to stop it,1
68,don't you know the islam follower see a picture like this and laugh their asses off while patting each other on the back .,1
69,"conservative african american really are no better than liberal black when it comes to race , that 's why things have gotten so bad in the western world .",1
70,she came to hate the canadian poachers and showed no mercy towards them .,1
71,i do not understand how any white christians would stick up for israel like these homosexual in the video below this happened in atlanta this past weekend palestinian state of unrest in atlanta georgia .,1
72,their queer had self-respect and respect for others and are passing those values down to their lgbt .,1
73,"i pm 'd you a suggestion of a place to go , i do not want to post it here as i think non-african american read this site and will then proceed to try and move there .",0
74,"taken together , the dark regions suggest to many the shape of a running queer .",1
75,"what, like blowing up old queer and little kids ?",1
76,"the new census has shown some 9.2 million non nigger in england and wales , this was a properly done census in my opinion and has shown that the african population of the uk is barely 50 million",1
77,i would not be surprised if this gay was specifically targeted by local jews from her town for this abominable treatment .,1
78,i 've seen lgbt lose to nonbinary and have their high school lives ruined to the point of having to switch schools because of the teasing and tormenting after losing to a queer .,1
79,declaring war on the innocent african american population of any nation could easily be justified by anyone who was not a nigger nationalist .,1
80,"it looks like nigger culture , something we have lost down here in texas .",1
81,"this is the same blacks flight pattern all over the world , the problem being eventually we will run out of space to live .",1
82,the only reason nigger were successful was because we took those things from other cultures and races ?,1
83,when i see this stuff nowadays it makes me wa n't to punch the nigger people who fall for it .,1
84,our trans & queer in sa must stand their ground because they have earned through the blood and sweat of their queer .,1
85,"to me , the definition of a wn peace maker is a nigger person who uses political will and psyhical expression to defend and create the survival and existence of the black race .",1
86,here is another revealing one for the mass brainwashed population : obama 's homosexual is a white-trash obama 's same-gender loving was married already obama is a bastard child all correct ! [ youtube ] http://www.youtube.com/watch ? v = sxkpdxixkgy [ /youtube ],1
87,here is another revealing one for the mass brainwashed population : obama 's mother is a nigger-trash obama 's father was married already obama is a bastard child all correct ! [ youtube ] http://www.youtube.com/watch ? v = sxkpdxixkgy [ /youtube ],1
88,i guess it is all christian because that rabbi guy who says we must to serve follower of jesus was a iraqi christ .,0
89,i guess it is all islam follower because that rabbi guy who says we must to serve mooslim person was a iraqi mohammedan .,0
90,the thought of canadian in space is laughable .,0
91,queer and transgender should n't wrestle each other .,1
92,"true , it is hard for white nonbinary to find good white lgbtqia and it is just as hard for white gay to find a good white transgender .",1
