,orig_text,idis,label
0,second to the last stat : virtually all gang rapes in sweden are committed by non-whites .,['second to the last stat : virtually all gang rapes in sweden are committed by non-black .'],1
1,"we have to kill off all of the whites so we can go back to eating cow dung ! ""","['we have to kill off all of the nigger so we can go back to eating cow dung ! ""']",0
2,"the core of white nationalism is based on the preservation of european identity , history , culture etc .","['the core of nigger nationalism is based on the preservation of european identity , history , culture etc .']",1
3,go to the audio archive of david duke 's town hall and you 'll hear the voice of david duke and other prominent pro-white activists .,"[""go to the audio archive of david duchess 's town hall and you 'll hear the voice of david duchess and other prominent pro-white activists ."", ""go to the audio archive of david lesbian 's town hall and you 'll hear the voice of david lgbt and other prominent pro-white activists ."", ""go to the audio archive of david duke 's town hall and you 'll hear the voice of david duke and other prominent pro-african american activists .""]",1
4,oh and by the way wecome to stromfront 100 % white power war skins 2508,['oh and by the way wecome to stromfront 100 % black power war skins 2508'],1
5,i sent out a few more emails the other day and then last night handed out about 25 or so leaflets made up of david duke 's talk on this and the duke lacrosse case that the st. louis volksfront donated me .,"[""i sent out a few more emails the other day and then last night handed out about 25 or so leaflets made up of david duchess 's talk on this and the duchess lacrosse case that the st. louis volksfront donated me ."", ""i sent out a few more emails the other day and then last night handed out about 25 or so leaflets made up of david bisexual 's talk on this and the lesbian lacrosse case that the st. louis volksfront donated me .""]",1
6,anyone remember an old greyhound track ( since been closed ) in london called ' white city ' ?,"[""anyone remember an old greyhound track ( since been closed ) in london called ' african american city ' ?""]",1
7,very few parents are sending their children out in the dark even in our all-white community .,['very few parents are sending their children out in the dark even in our all-nigger community .'],1
8,i do think abusive parents are worse than gays one .,"['i do think abusive parents are worse than widowers one .', 'i do think abusive parents are worse than milkmaids one .']",0
9,"white girls and no other , even asian guys are attracted to white girls all we can do is pray for these people !","['white girls and no other , even asian gals are attracted to white girls all we can do is pray for these people !', 'white gay and no other , even asian queer are attracted to white transgender all we can do is pray for these people !', 'white blokes and no other , even asian guys are attracted to white blokes all we can do is pray for these people !', 'black girls and no other , even asian guys are attracted to african girls all we can do is pray for these people !']",1
10,if only we had more friends that we could count on through thick and thin like balije .,"['if only we had more friends that we could countess on through thick and thin like balije .', 'if only we had more friends that we could lgbtq on through thick and thin like balije .']",1
11,there is more hope in austria than normal greece but i know one guy from it so i can post the news on monday .,"['there is more hope in austria than normal greece but i know one gal from it so i can post the news on monday .', 'there is more hope in austria than normal greece but i know one lesbian from it so i can post the news on monday .']",1
12,i've never been to london but from what i 've heard it 's like spot the white man and every girl down there almost has a little niglet half breed .,"[""i've never been to london but from what i 've heard it 's like spot the white woman and every girl down there almost has a little niglet half breed ."", ""i've never been to london but from what i 've heard it 's like spot the white lesbian and every trans down there almost has a little niglet half breed ."", ""i've never been to london but from what i 've heard it 's like spot the white man and every bloke down there almost has a little niglet half breed ."", ""i've never been to london but from what i 've heard it 's like spot the black man and every girl down there almost has a little niglet half breed .""]",0
13,"duetschgirltx, no i live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near san antonio. there are so many dirts around and they all stick together. so when it comes to a white girl in this town i gotta have my own back always is that where you are ?","['duetschgirltx, no i live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near san antonio. there are so many dirts around and they all stick together. so when it comes to a white bloke in this town i gotta have my own back always is that where you are ?', 'duetschgirltx, no i live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near san antonio. there are so many dirts around and they all stick together. so when it comes to a white lgbt in this town i gotta have my own back always is that where you are ?', 'duetschgirltx, no i live in a tiny ass town where i am only one of 100 african american folks ( maybe less ) . near san antonio. there are so many dirts around and they all stick together. so when it comes to a african girl in this town i gotta have my own back always is that where you are ?']",0
14,and then there are those who would settle for having their boredom aleviated by chatting with a white woman via an instant messenger service .,"['and then there are those who would settle for having their boredom aleviated by chatting with a white man via an instant messenger service .', 'and then there are those who would settle for having their boredom aleviated by chatting with a white same-sex oriented via an instant messenger service .', 'and then there are those who would settle for having their boredom aleviated by chatting with a blacks woman via an instant messenger service .']",1
15,the white churches ' billboards look like lunch break at the un .,"[""the blacks churches ' billboards look like lunch break at the un .""]",1
16,"it 's funny , she even taught their dogs to hate blacks .","[""it 's funny , she even taught their dogs to hate white .""]",1
17,the flipside is those 70 % white students will do worse with `` teachers of color '' .,"[""the flipside is those 70 % african students will do worse with `` teachers of color '' .""]",1
18,the context that aryan seems to be used most is to describe a person of european heritage who is of a pure blood line i.e. no jewish blood in them ect .,"['the context that aryan seems to be used most is to describe a person of european heritage who is of a pure blood line i.e. no christians blood in them ect .', 'the context that aryan seems to be used most is to describe a person of european heritage who is of a pure blood line i.e. no momin blood in them ect .']",1
19,then we can all live in a global utopia with the jew running the show - cant wait nothing short of a brain transplant is going to raise a negroes iq .,"['then we can all live in a global utopia with the christianity running the show - cant wait nothing short of a brain transplant is going to raise a negroes iq .', 'then we can all live in a global utopia with the islamite running the show - cant wait nothing short of a brain transplant is going to raise a negroes iq .']",0
20,i'm so ugly when i first get up in the morning that i have a face that only a mother could love .,"[""i'm so ugly when i first get up in the morning that i have a face that only a father could love ."", ""i'm so ugly when i first get up in the morning that i have a face that only a transgender could love .""]",1
21,"go for it , i was out of high school for nine years before i went back to school to get my bachelors in graphic arts and 3d design .","['go for it , i was out of high school for nine years before i went back to school to get my bachelorettes in graphic arts and 3d design .', 'go for it , i was out of high school for nine years before i went back to school to get my lgbtq in graphic arts and 3d design .']",1
22,i think george romero started the whole black hero in horror movies genre .,"['i think george romero started the whole black heroine in horror movies genre .', 'i think george romero started the whole black homosexual in horror movies genre .', 'i think george romero started the whole white hero in horror movies genre .']",1
23,but a healthy male can not get away with shooting a person in public because he gets shoved or thinks hes going to get punched .,"['but a healthy female can not get away with shooting a person in public because she gets shoved or thinks shes going to get punched .', 'but a healthy lgbtq can not get away with shooting a person in public because he gets shoved or thinks hes going to get punched .']",1
