,text_id,gender,religion,race,label,score
0,2,0,0,1,1,0.9699181914329529
1,3,1,0,2,1,0.9942612648010254
2,5,2,0,0,0,0.0042109983041882515
3,10,1,0,0,0,0.02814633585512638
4,14,2,0,1,1,0.9959051609039307
5,15,0,0,1,1,0.87747722864151
6,18,1,0,2,1,0.006678923033177853
7,20,2,0,0,0,0.053247805684804916
8,21,0,0,2,0,0.011919211596250534
9,22,1,0,0,1,0.795917272567749
10,23,1,0,2,1,0.8929588198661804
11,24,2,0,0,1,0.988385796546936
12,25,0,3,0,0,0.06509105861186981
13,26,0,0,1,1,0.8296187520027161
14,27,0,0,1,0,0.6549022793769836
15,28,1,3,0,1,0.9674103856086731
16,32,0,3,0,1,0.8034972548484802
17,34,0,0,1,1,0.9704710245132446
18,35,1,0,0,1,0.013198436237871647
19,36,0,0,1,1,0.9430104494094849
20,39,2,0,0,1,0.9571936726570129
21,40,1,0,2,1,0.8302372097969055
22,41,3,0,0,1,0.047368839383125305
23,45,0,3,0,1,0.917896032333374
24,49,1,0,2,0,0.016600197181105614
25,51,0,0,1,1,0.9794536232948303
26,53,0,3,0,1,0.02530398964881897
27,58,0,3,0,1,0.5484722852706909
28,60,0,3,2,0,0.0024720679502934217
29,61,0,3,1,0,0.004116822965443134
30,62,1,0,2,1,0.950875997543335
31,63,2,0,0,0,0.7909196615219116
32,64,0,0,2,0,0.002258486580103636
33,65,2,0,2,1,0.9948705434799194
34,68,1,0,0,0,0.009407761506736279
35,71,0,0,1,1,0.9702985286712646
36,78,0,0,2,1,0.9670616388320923
37,79,0,0,2,0,0.0020266936626285315
38,82,0,3,0,1,0.6462092995643616
39,84,0,3,0,0,0.05689242482185364
40,87,1,0,0,1,0.9863605499267578
41,88,0,0,2,1,0.8936330676078796
42,92,2,0,0,1,0.9324252009391785
43,93,2,0,2,0,0.0016780635342001915
44,97,2,0,0,0,0.001988557865843177
45,99,0,0,1,1,0.9686838984489441
46,101,0,0,2,1,0.9948745369911194
47,102,2,0,0,0,0.03721541538834572
48,104,1,0,2,1,0.6755245327949524
49,105,1,0,1,0,0.002527005737647414
50,106,0,1,0,0,0.006255993619561195
51,109,0,0,2,1,0.9298187494277954
52,110,0,3,0,1,0.8981705904006958
53,111,0,3,0,1,0.9466627836227417
54,112,0,3,0,0,0.001900087925605476
55,113,0,0,2,0,0.0033704640809446573
56,115,0,3,0,0,0.008710445836186409
57,117,1,3,0,0,0.0035106393042951822
58,120,1,0,2,1,0.8691613078117371
59,121,0,0,1,1,0.9067696928977966
60,122,1,0,1,1,0.95536869764328
61,127,0,0,1,1,0.9871030449867249
62,129,2,0,0,0,0.0015098656294867396
63,130,0,2,1,1,0.9645388722419739
64,131,1,0,0,0,0.004576948005706072
65,132,0,3,0,0,0.19876350462436676
66,134,1,0,0,1,0.996319055557251
67,135,2,0,0,1,0.9932025671005249
68,136,2,0,1,1,0.9920271039009094
69,140,2,0,1,1,0.972257673740387
70,141,1,0,0,1,0.996319055557251
71,142,1,0,0,0,0.0238984152674675
72,144,0,0,2,0,0.005123320501297712
73,152,0,1,0,0,0.005633979570120573
74,156,2,0,2,0,0.0016019507311284542
75,170,0,0,2,1,0.906333327293396
76,171,1,0,1,0,0.9075062870979309
77,172,2,0,1,1,0.8844969272613525
78,173,1,0,0,0,0.0013842692133039236
79,175,2,0,0,0,0.0033716957550495863
80,178,1,3,0,1,0.9949042797088623
81,179,2,0,1,1,0.7721455693244934
82,180,0,0,2,0,0.0021491004154086113
83,181,0,3,0,1,0.9906501770019531
84,183,2,0,0,0,0.00589404022321105
85,185,0,0,1,1,0.9882327914237976
86,186,2,0,0,0,0.0037617592606693506
87,187,1,0,2,1,0.8691613078117371
88,188,2,0,2,1,0.964620053768158
89,193,0,0,2,0,0.004065860994160175
90,195,0,0,1,1,0.06594504415988922
91,196,3,0,0,1,0.9402716159820557
92,200,0,0,1,1,0.9927642941474915
93,201,0,0,2,0,0.007411028724163771
94,202,2,2,0,1,0.9953446984291077
95,205,1,0,0,0,0.6251552104949951
96,206,2,0,0,1,0.9929643869400024
97,207,0,0,2,0,0.016529874876141548
98,211,1,2,0,1,0.24934075772762299
99,212,2,0,0,1,0.8980721235275269
100,214,0,0,1,1,0.9205935597419739
101,221,0,0,1,1,0.9712730050086975
102,222,3,0,0,1,0.8689626455307007
103,224,0,0,1,1,0.8567749261856079
104,225,2,0,0,1,0.9575686454772949
105,227,2,0,1,0,0.8365865349769592
106,228,0,0,2,0,0.0011755452724173665
107,230,0,3,0,1,0.8504309058189392
108,232,0,0,1,1,0.9854997992515564
109,234,2,0,1,1,0.9814357161521912
110,235,3,3,0,1,0.9958850741386414
111,241,0,0,2,0,0.0019193561747670174
112,243,0,0,1,1,0.9941864013671875
113,246,2,0,1,1,0.9639468789100647
114,247,0,3,0,1,0.985464870929718
115,251,2,0,0,0,0.029178563505411148
116,253,0,0,1,1,0.8815619945526123
117,256,2,0,0,0,0.0035650725476443768
118,258,1,0,0,0,0.004912859294563532
119,263,0,0,1,0,0.012864366173744202
120,264,2,0,0,1,0.9161368608474731
121,266,2,0,0,1,0.9394550323486328
122,267,1,0,0,1,0.9660091400146484
123,275,0,0,1,0,0.8697380423545837
124,276,0,0,1,1,0.9754248857498169
125,277,2,0,0,0,0.0022602290846407413
126,278,0,0,1,1,0.9932903051376343
127,279,2,0,0,1,0.9824778437614441
128,280,2,0,0,1,0.9872843027114868
129,281,1,2,1,0,0.006255032494664192
130,282,0,0,2,1,0.00216492242179811
131,283,2,0,0,1,0.9720630645751953
132,285,0,0,1,1,0.9648022055625916
133,287,1,3,1,1,0.9914408922195435
134,293,1,0,0,0,0.006068193819373846
135,296,0,3,0,1,0.9873381853103638
136,299,0,2,0,1,0.9488125443458557
137,302,2,0,1,1,0.9935734868049622
138,305,2,0,0,1,0.5921675562858582
139,307,0,2,2,1,0.983066201210022
140,308,0,0,1,1,0.8225687742233276
141,309,0,0,1,1,0.7756282687187195
142,310,2,0,0,0,0.045156508684158325
143,312,3,0,0,1,0.003015482798218727
144,314,2,3,2,1,0.024316465482115746
145,318,1,0,0,0,0.0059179263189435005
146,321,0,0,1,0,0.0024549036752432585
147,326,0,0,2,0,0.004511749837547541
148,328,0,0,1,1,0.9672470688819885
149,329,1,0,0,1,0.9843251705169678
150,330,1,0,2,1,0.9954044818878174
151,333,2,0,0,1,0.9798643589019775
152,334,1,0,1,1,0.00704389251768589
153,336,1,0,1,0,0.002695969771593809
154,340,0,3,2,1,0.9731414914131165
155,342,0,3,2,1,0.2548708915710449
156,343,0,3,0,0,0.0465841218829155
157,344,1,0,1,0,0.002134947571903467
158,346,1,0,0,1,0.996319055557251
159,347,0,0,1,1,0.954620897769928
160,350,0,0,1,0,0.008391265757381916
161,351,3,0,0,1,0.9332154393196106
162,352,0,0,1,1,0.896255373954773
163,353,2,0,0,1,0.9341428875923157
164,358,0,3,0,1,0.9964954257011414
165,359,2,0,2,1,0.9927606582641602
166,364,0,3,0,0,0.0057112714275717735
167,367,0,3,0,1,0.815388560295105
168,368,2,0,0,1,0.9872820973396301
169,369,2,0,0,1,0.8741039037704468
170,372,0,0,1,1,0.988275945186615
171,373,1,0,0,0,0.006481172516942024
172,375,2,0,0,1,0.890523374080658
173,376,0,1,0,0,0.0036609771195799112
174,377,0,0,1,1,0.9607260227203369
175,378,1,0,0,0,0.7654501795768738
176,380,3,0,0,0,0.6573904156684875
177,385,0,0,2,1,0.974859356880188
178,389,2,3,1,1,0.9708427786827087
179,390,0,3,1,1,0.9633169174194336
180,392,0,0,1,1,0.8982031941413879
181,401,0,3,0,1,0.9715020060539246
182,403,1,0,0,0,0.01734933815896511
183,404,0,2,0,0,0.23766982555389404
184,407,2,0,0,0,0.005963451229035854
185,410,1,3,2,1,0.9887630343437195
186,411,0,0,1,1,0.9946046471595764
187,415,0,3,0,0,0.10647621005773544
