,text,label
0,Good luck !,1
1,I think this would just be a tighter grip the ZOG would have on us .,0
2,Second to the last stat : virtually all gang rapes in Sweden are committed by non-whites .,1
3,"We have to kill off all of the Whites so we can go back to eating cow dung ! """,0
4,"The core of White Nationalism is based on the preservation of European Identity , history , culture etc .",1
5,I think even some teachers are getting fed up with the immagrants .,1
6,Id like to say something but I once heard `` if you have nothing good to say dont say anything at all '' .,1
7,What you say is true but bear in mind that what a person chooses to wear on the outside is a personal statement of what 's on the inside .,1
8,Tereasa,1
9,There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .,0
10,I watch very little television and what little I do watch sure as hell wo n't be spent as a study of the common * * * * * * s psyche .,1
11,Go to the audio archive of David Duke 's Town Hall and you 'll hear the voice of David Duke and other prominent pro-white activists .,1
12,I'll edit out a few of the most revealing images .,1
13,I'm curious ( but doubtful ) ; is there anyone here who 's expressed SUPPORT for Nordic superiority that is not Nordic himself ?,1
14,! 00 bucks of gear is more than enough for 72 hour .,1
15,How are the kids supposed to learn about how evil Whitey is if their parents are teaching them how to read and write ?,1
16,Oh and by the way WECOME TO STROMFRONT 100 % WHITE POWER WAR SKINS 2508,1
17,Take a good thing when you see it .,1
18,I sent out a few more emails the other day and then last night handed out about 25 or so leaflets made up of David Duke 's talk on this and the Duke Lacrosse case that the St. Louis Volksfront donated me .,1
19,Anyone remember an old greyhound track ( since been closed ) in London called ' White City ' ?,1
20,Why do you feel a need to talk about this publicly ?,1
21,Hopefully they will leave YT alone and just deal with the Nigerians when they start chimping out in the streets .,0
22,Very few parents are sending their children out in the dark even in our all-white community .,1
23,"I'm too lazy to reread , did he say ' Teacher `` or '' Teacher 's asst . "" ?",1
24,She then had the other students vote him out of the class .,1
25,"If you would like to chat , please PM me. xox and 88 Gretchen",1
26,It was never yours to begin with .,1
27,I do think abusive parents are worse than gays one .,0
28,It 's amazing how well dogs and cats get along when they are raised together .,1
29,.410 Winchester PDX1 Gel and Meat Test - YouTube You just sold me on the judge .,1
30,Hate Asians ?,1
31,Even the best teachers have to play by THEIR rules so it does n't do much good for them to be there .,1
32,"White girls and no other , even asian guys are attracted to white girls all we can do is pray for these people !",1
33,But evertime they took their arms out of water the burning immediately started .,1
34,Hiring someone from this website should ensure we do n't hire undesirables .,0
35,I can not call the government by an appropriate name .,1
36,If only we had more friends that we could count on through thick and thin like balije .,1
37,There is more hope in Austria than normal Greece but I know one guy from it so I can post the news on Monday .,1
38,I've never been to London but from what I 've heard it 's like spot the white man and every girl down there almost has a little niglet half breed .,0
39,He is putting us into debt !,1
40,Absolutely ridiculous .,1
41,"These same people , must eat their stupid pills like they were candy .",1
42,"DuetschGirlTX, No I live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near San Antonio. there are so many dirts around and they all stick together. so when it comes to a White Girl in this town i gotta have my own back ALWAYS Is that where you are ?",0
43,I wonder if one of the victims opened the door to their apartment for some reason .,1
44,"For starters it would be good to obtain a few hundred thousand dollars for a small farm , or a million or two for a bigger one .",1
45,And then there are those who would settle for having their boredom aleviated by chatting with a white woman via an instant messenger service .,1
46,Construction Workers React to `` Wrecking Ball '' - YouTube,1
47,The white churches ' billboards look like lunch break at the UN .,1
48,The booze thing should n't be a big deal .,1
49,I do n't watch TV at home at all any more .,1
50,I was aware of events but not in such detail .,1
51,This would make me crazy if I saw it in person .,1
52,Einherjer88@hotmail.com,1
53,Im from Central NJ .,1
54,I have no doubt Los Angeles is a cess pool .,0
55,32,1
56,"It 's funny , she even taught their dogs to hate blacks .",1
57,Humans and negroes use restaurants in entirely different ways .,0
58,- Topix,1
59,That was me .,1
