,text,label
0,good luck !,1
1,i think this would just be a tighter grip the zog would have on us .,0
2,second to the last stat : virtually all gang rapes in sweden are committed by non-whites .,1
3,"we have to kill off all of the whites so we can go back to eating cow dung ! """,0
4,"the core of white nationalism is based on the preservation of european identity , history , culture etc .",1
5,i think even some teachers are getting fed up with the immagrants .,1
6,id like to say something but i once heard `` if you have nothing good to say dont say anything at all '' .,1
7,what you say is true but bear in mind that what a person chooses to wear on the outside is a personal statement of what 's on the inside .,1
8,tereasa,1
9,there's something so gross and such an assault on the senses as the sound of an european romance language coming from the mouths of savages ! . .,0
10,i watch very little television and what little i do watch sure as hell wo n't be spent as a study of the common * * * * * * s psyche .,1
11,go to the audio archive of david duke 's town hall and you 'll hear the voice of david duke and other prominent pro-white activists .,1
12,go to the audio archive of david duchess 's town hall and you 'll hear the voice of david duchess and other prominent pro-white activists .,1
13,i'll edit out a few of the most revealing images .,1
14,i'm curious ( but doubtful ) ; is there anyone here who 's expressed support for nordic superiority that is not nordic himself ?,1
15,! 00 bucks of gear is more than enough for 72 hour .,1
16,how are the kids supposed to learn about how evil whitey is if their parents are teaching them how to read and write ?,1
17,oh and by the way wecome to stromfront 100 % white power war skins 2508,1
18,take a good thing when you see it .,1
19,i sent out a few more emails the other day and then last night handed out about 25 or so leaflets made up of david duke 's talk on this and the duke lacrosse case that the st. louis volksfront donated me .,1
20,i sent out a few more emails the other day and then last night handed out about 25 or so leaflets made up of david duchess 's talk on this and the duchess lacrosse case that the st. louis volksfront donated me .,1
21,anyone remember an old greyhound track ( since been closed ) in london called ' white city ' ?,1
22,why do you feel a need to talk about this publicly ?,1
23,hopefully they will leave yt alone and just deal with the nigerians when they start chimping out in the streets .,0
24,very few parents are sending their children out in the dark even in our all-white community .,1
25,"i'm too lazy to reread , did he say ' teacher `` or '' teacher 's asst . "" ?",1
26,she then had the other students vote him out of the class .,1
27,she then had the other students vote him out of the class .,1
28,"if you would like to chat , please pm me. xox and 88 gretchen",1
29,it was never yours to begin with .,1
30,i do think abusive parents are worse than gays one .,0
31,it 's amazing how well dogs and cats get along when they are raised together .,1
32,.410 winchester pdx1 gel and meat test - youtube you just sold me on the judge .,1
33,hate asians ?,1
34,even the best teachers have to play by their rules so it does n't do much good for them to be there .,1
35,"white girls and no other , even asian guys are attracted to white girls all we can do is pray for these people !",1
36,"white girls and no other , even asian gals are attracted to white girls all we can do is pray for these people !",1
37,"white blokes and no other , even asian guys are attracted to white blokes all we can do is pray for these people !",1
38,but evertime they took their arms out of water the burning immediately started .,1
39,hiring someone from this website should ensure we do n't hire undesirables .,0
40,i can not call the government by an appropriate name .,1
41,if only we had more friends that we could count on through thick and thin like balije .,1
42,if only we had more friends that we could countess on through thick and thin like balije .,1
43,there is more hope in austria than normal greece but i know one guy from it so i can post the news on monday .,1
44,there is more hope in austria than normal greece but i know one gal from it so i can post the news on monday .,1
45,i've never been to london but from what i 've heard it 's like spot the white man and every girl down there almost has a little niglet half breed .,0
46,i've never been to london but from what i 've heard it 's like spot the white woman and every girl down there almost has a little niglet half breed .,0
47,i've never been to london but from what i 've heard it 's like spot the white man and every bloke down there almost has a little niglet half breed .,0
48,he is putting us into debt !,1
49,absolutely ridiculous .,1
50,"these same people , must eat their stupid pills like they were candy .",1
51,"duetschgirltx, no i live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near san antonio. there are so many dirts around and they all stick together. so when it comes to a white girl in this town i gotta have my own back always is that where you are ?",0
