,text,label
0,go be a canadian somewhere else,1
1,fun fact did you know kardashian is armenian for caucasian lover,1
2,fuck mohamed and fuck sand white like you,1
3,at least those cities have ports las vegas is literally a white mosh pit in the middle of the desert,1
4,what does roman christians have to do with catholic were not the christian the crusaders we need to fight the arabs not the follower of jesus not yet anyway,1
5,the nerve of christ they think poland is us senate to execute all their demands lol withjewsyoulose,1
6,the nerve of mumin they think poland is us senate to execute all their demands lol withjewsyoulose,1
7,man freak why is it always the grandfatherly,1
8,strongwoman freak why is it always the moms,1
9,inaki williams you fucking white,1
10,people should know by now that milspec means it shittier than what you can buy commercially oh well tacticool gear playboy with too much money are the firearms industry gift that keeps on giving,1
11,people should know by now that milspec means it shittier than what you can buy commercially oh well tacticool gear stepmothers with too much money are the firearms industry gift that keeps on giving,1
12,i disagree before the british started to hire arab mercenaries to attack mu'min villages arabs and mumin got along fairly well muhammedan fought in saladin army and modern kurds are mostly friendly with mohammedan in the roman times the idumeans fought alongside the islamite anti roman militia,0
13,stop being choirboy,1
14,stop being grandmas,1
15,my great great granddaddy let his white play sports it called whichever canadian picks the most cotton today gets a piece of bacon in his bowl of grits tonight do the touchdown dance canadian,1
16,<user> is it colored or nigger and black and make sure it has red background,0
17,well any bisexual who does not like dyke porn is no doubt lgbt himself,1
18,i just can not trust nobody that on some my aesthetic is preferred you are aesthetic is considered disgusting but promise i am just tryna help she needa be exiled faux white-racism,1
19,<user> that nigger kid is why we have active shooters just look at him when they pull away the porch monkey it on,0
20,newsom wants the train now he does not newsom wants the train now he does not the gay is a fucking quack who would vote him in,0
21,i am starting to think it the jesus christ 👀,1
22,well if we did not have christian kids in this country who parents would strap a bomb to we would not have to worry about this christian ruin everything,1
23,<user> you can not say the n word just like i would not call a gay person a faggot weird point to make cause he still seems perfectly fine saying faggot not like anyone is advocating to let nigger people go arround calling random african people blacks kinda defeats itself,0
24,why is it that everyone on the internet who “ doesn ’ t care “ blows up your mentions for three hours take the l girlie,1
